"","MA.id","CDSR.id","outcome","modelname","col.group","num_studies","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
"1",1,"CD000197","MD","ivfe","Frequentist",17,-3.37400516412224,0.390281760216014,-4.13894335796853,-2.60906697027596,1.52987638769257,NA,NA,NA,NA,NA,NA,NA
"2",1,"CD000197","MD","ivre","Frequentist",17,-4.75912359875203,1.89062871566988,-8.46468778960221,-1.05355940790185,7.41112838170036,6.07301056626826,NA,NA,NA,NA,NA,NA
"3",1,"CD000197","MD","htebayesian","Bayesian",17,-6.53058332630615,4.61767678425892,-15.751808754688,2.61784645333803,18.369655208026,18.4604582949242,-118.066874906645,9.40822179070499,236.133749813289,71.7423015411969,1.19092177661681,143.484603082394
"4",1,"CD000197","MD","ctebayesian","Bayesian",17,-8.94412976530254,0.162004414272706,-9.26168127624225,-8.62911105445809,0.63257022178416,NA,NA,NA,NA,NA,NA,NA
"5",1,"CD000197","Cohen's d","ivfe","Frequentist",17,-0.136646216512366,0.0330123575176282,-0.201349248291677,-0.0719431847330547,0.129406063558623,NA,NA,NA,NA,NA,NA,NA
"6",1,"CD000197","Cohen's d","ivre","Frequentist",17,-0.206233628543528,0.0969295880307336,-0.39621213012007,-0.0162551269669852,0.379957003153085,0.360729654293119,NA,NA,NA,NA,NA,NA
"7",1,"CD000197","Cohen's d","htebayesian","Bayesian",17,-0.36922123576169,0.596200558009378,-1.49480305086728,0.824008962199572,2.31881201306685,0.44988979279855,-11.2666370139131,12.250665183866,22.5332740278261,0.255861687066176,0.191382690602921,0.511723374132352
"8",1,"CD000197","Cohen's d","ctebayesian","Bayesian",17,-0.348245112547972,0.582729408414902,-1.48381639928837,0.785647708763246,2.26946410805162,NA,NA,NA,NA,NA,NA,NA
"9",1,"CD000197","Hedge's g","ivfe","Frequentist",17,-0.235162150474242,0.245119949150955,-0.715588422702403,0.245264121753918,0.960852544456321,NA,NA,NA,NA,NA,NA,NA
"10",1,"CD000197","Hedge's g","ivre","Frequentist",17,-0.235162150474242,0.245119949150955,-0.715588422702403,0.245264121753918,0.960852544456321,0,NA,NA,NA,NA,NA,NA
