"","MA.id","CDSR.id","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic","modelname","col.group","outcome","num_studies"
"1",1,"CD000197",-6.5205653186987,4.61442445488372,-15.6014989440281,2.64950535555723,18.2510042995854,18.3720588246471,-116.649140068316,6.54475790297156,233.298280136633,71.7610255995481,1.79842632420489,143.522051199096,"htebayesian.tau100","bayesian","MD",17
"2",2,"CD000433",3.01393800973971,2.17062173401685,-1.13203837723451,7.20840688745518,8.34044526468969,3.197946336995,12.9701183545194,4.44791727375407,-25.9402367090388,5.03237186707561,0.61019379782115,10.0647437341512,"htebayesian.tau100","bayesian","MD",5
"3",3,"CD000197",-3.70412081640234,2.77966519969429,-9.26045455066323,1.78700691795527,11.0474614686185,6.03180789914186,-28.5026482309674,4.75539361576965,57.0052964619349,13.1860774798352,1.43022075673071,26.3721549596705,"htebayesian.tau100","bayesian","MD",7
"4",4,"CD000197",-3.68952483641983,7.18998088577886,-17.8953769176538,10.7475595160076,28.6429364336614,24.890393135374,-51.3526739739874,2.00079737259066,102.705347947975,83.4841208768191,0.36879552052016,166.968241753638,"htebayesian.tau100","bayesian","MD",13
"5",5,"CD000197",-9.93099479195669,6.42300018684293,-22.415588227581,3.20494247295497,25.620530700536,17.6193420793861,-94.5693211081518,4.74787315132267,189.138642216304,46.7927136728657,1.67987781995564,93.5854273457314,"htebayesian.tau100","bayesian","MD",9
"6",6,"CD001277",-0.321166387807679,1.42630153676136,-3.02607954034701,2.46950285664485,5.49558239699186,1.05884497911689,-5.36338234317405,11.4696733745992,10.7267646863481,0.330806370167887,1.1921800072091,0.661612740335774,"htebayesian.tau100","bayesian","MD",5
"7",7,"CD001277",8.76934908984441,4.20084450653368,0.162372081386296,16.6967024988449,16.5343304174586,6.75246402973163,42.4340038944717,3.6764553811867,-84.8680077889435,11.8769885917845,0.966049682422321,23.7539771835691,"htebayesian.tau100","bayesian","MD",5
"8",8,"CD000230",20.2737654743121,15.4711194150142,-10.4192115359134,50.537646576416,60.9568581123294,83.7554853421022,582.139542260918,0.404174861629498,-1164.27908452184,394.569780697503,0.0453833779007864,789.139561395006,"htebayesian.tau100","bayesian","MD",22
"9",9,"CD001277",14.1786557264678,8.99510893692933,-5.65023773826237,30.9814980685743,36.6317358068366,16.4934374790055,73.5742658886626,3.20421619091501,-147.148531777325,29.2778056648785,1.10787968361842,58.555611329757,"htebayesian.tau100","bayesian","MD",5
"10",10,"CD000032",54.3050459197705,22.8482638894499,8.4756349352423,98.0842262125951,89.6085912773528,87.4412574432748,823.922431883851,0.156461263617382,-1647.8448637677,255.018058383263,0.0328196574817527,510.036116766526,"htebayesian.tau100","bayesian","MD",8
"11",11,"CD000230",0.249867856336843,0.59604084385008,-0.906796620532147,1.39122904654597,2.29802566707811,0.422923356054363,-0.498311512537161,7.01702813981294,0.996623025074322,0.162746898822239,0.288897813955591,0.325493797644478,"htebayesian.tau100","bayesian","MD",11
"12",12,"CD000032",-4.56284235969385,20.7322894217,-45.1909281504911,37.1738295341909,82.364757684682,67.50373463008,-47.0571360885739,0.114741291611188,94.1142721771478,157.952178163201,0.0279417598162939,315.904356326402,"htebayesian.tau100","bayesian","MD",6
"13",13,"CD000230",0.304709541617566,0.714603747450733,-1.06103594295488,1.73304646961024,2.79408241256512,0.526012821090909,-1.24241752168414,11.3615432852201,2.48483504336828,0.331400125020913,0.355800596148952,0.662800250041827,"htebayesian.tau100","bayesian","MD",12
"14",14,"CD000032",0.879641285368237,1.32953215949679,-1.87413601513716,3.25234685578278,5.12648287091995,1.13051410548589,-0.291996856263116,9.64482262299713,0.583993712526231,1.30182256527734,1.47323266152235,2.60364513055468,"htebayesian.tau100","bayesian","MD",5
"15",15,"CD000032",-0.174679479682576,1.51706989113267,-3.1402125084976,2.80004424032955,5.94025674882715,1.13900406675207,-4.0667216202026,12.6126657909366,8.1334432404052,0.432473249741782,2.03220394363662,0.864946499483563,"htebayesian.tau100","bayesian","MD",5
"16",16,"CD000032",-0.105677469783647,0.955553950423506,-1.96914234210913,1.76542521664819,3.73456755875731,0.750059506481696,-3.08370946269817,7.77120285628469,6.16741892539635,0.296564652962518,1.14992281491024,0.593129305925036,"htebayesian.tau100","bayesian","MD",6
"17",17,"CD000230",-0.0642477743736007,0.812275704328167,-1.66564707263533,1.51700922163564,3.18265629427097,0.604919713155669,-4.14113177879135,8.59686588926482,8.28226355758271,0.148461198441124,0.331813725560981,0.296922396882247,"htebayesian.tau100","bayesian","MD",8
"18",18,"CD000032",16.5431701133188,12.5635124883379,-9.70979236449293,40.5281722303436,50.2379645948366,37.8957365947373,172.455538955137,0.450430790184182,-344.911077910275,102.176673947834,0.0946784819286787,204.353347895667,"htebayesian.tau100","bayesian","MD",9
"19",19,"CD002777",-0.326658151169263,0.48185441224077,-1.24580661559322,0.646462161917073,1.89226877751029,0.502594297251079,-2.86465501537705,2.02921635219019,5.72931003075411,0.584856763585037,0.104521763532855,1.16971352717007,"htebayesian.tau100","bayesian","MD",6
"20",20,"CD000329",-51.1752530812345,22.0309820054997,-86.0212551601166,-0.0140197301235485,86.007235429993,50.6585517883505,-378.37627169935,1.76844481608305,756.752543398701,79.6808192234687,0.52524008474301,159.361638446937,"htebayesian.tau100","bayesian","MD",5
"21",21,"CD000039",-10.5212922725367,8.47684816941922,-26.6405080304464,7.81079293622162,34.451300966668,15.388379352751,-55.8744771481204,0.620591375324788,111.748954296241,27.0329242889266,0.147861703922,54.0658485778532,"htebayesian.tau100","bayesian","MD",5
"22",22,"CD000039",-10.7618408213807,5.22034573898711,-21.0410904195787,-0.0811352679450161,20.9599551516337,11.9695675460862,-78.0323800007963,2.05538327709222,156.064760001593,26.8762012634985,1.2652265968636,53.752402526997,"htebayesian.tau100","bayesian","MD",7
"23",23,"CD000343",2.22862189981317,0.692231535480643,0.845097958588465,3.5966149160364,2.75151695744793,2.2319268152661,25.3012862115063,11.7412883872557,-50.6025724230126,7.26801019548707,1.32926821125026,14.5360203909741,"htebayesian.tau100","bayesian","MD",14
"24",24,"CD000039",-10.9416223436077,2.27492269520085,-15.3349594151801,-6.40795930476708,8.92700011041304,3.46810460224447,-57.1011405051769,4.35730160970403,114.202281010354,5.87968803384382,1.72586441885703,11.7593760676876,"htebayesian.tau100","bayesian","MD",5
"25",25,"CD000343",2.5894028507634,1.24922780448162,0.10074681774434,5.07881327404208,4.97806645629774,2.90590100345755,17.3890969864379,6.74480083282917,-34.7781939728759,6.87335440939593,1.24271552019025,13.7467088187919,"htebayesian.tau100","bayesian","MD",8
"26",26,"CD000039",-10.0837297639297,2.73523439051764,-15.5148660810451,-4.66034320331361,10.8545228777315,7.835874957792,-104.180898108366,5.46851557854562,208.361796216731,21.9590218535709,2.13460716591205,43.9180437071418,"htebayesian.tau100","bayesian","MD",10
"27",27,"CD000343",1.19364744305021,0.926256280980099,-0.548714090944584,3.06949971043934,3.61821380138392,1.45398180794346,4.90531620353875,4.98949261336905,-9.8106324070775,2.28703835277551,0.572317869227517,4.57407670555102,"htebayesian.tau100","bayesian","MD",6
"28",28,"CD000039",-8.97302855023536,2.7296510935215,-14.3557327843966,-3.41125128241273,10.9444815019838,7.81962358544135,-91.5604114011317,2.62882793121126,183.120822802263,22.0382996469246,1.06767528372165,44.0765992938491,"htebayesian.tau100","bayesian","MD",10
"29",29,"CD000343",0.174464214638204,1.15193856604968,-2.12546412735594,2.51090240270132,4.63636653005726,0.825273518746788,-3.94991307322853,23.246907078796,7.89982614645706,1.06697892757342,0.874247988352115,2.13395785514684,"htebayesian.tau100","bayesian","MD",10
"30",30,"CD000343",0.265382903429368,2.22758138177546,-3.81956888373803,4.43432243629813,8.25389132003616,1.57588013673149,-1.79541537223345,24.963364582926,3.59083074446691,2.90524978019243,3.67339596312665,5.81049956038485,"htebayesian.tau100","bayesian","MD",5
"31",31,"CD000039",-8.69289817791581,2.61742174368024,-13.7624626042239,-3.32145754648513,10.4410050577387,5.01063406071312,-54.8987794787956,5.23377913702821,109.797558957591,9.42268871961317,1.70108823363087,18.8453774392263,"htebayesian.tau100","bayesian","MD",6
"32",32,"CD000039",-12.6130956267319,3.29222043646995,-19.0987923843566,-5.86931917751336,13.2294732068432,7.37223599746574,-90.0045737745344,1.74411338704032,180.009147549069,16.3747192230454,0.914231422325283,32.7494384460909,"htebayesian.tau100","bayesian","MD",7
"33",33,"CD000343",-0.0507497088815769,1.28655424339817,-2.45102427967747,2.65021022449587,5.10123450417334,0.958913677091246,-5.77130527247321,32.8703326916657,11.5426105449464,1.07378174964779,0.984242439063538,2.14756349929558,"htebayesian.tau100","bayesian","MD",11
"34",34,"CD000039",-9.3627592828899,6.76176979432314,-21.9998136972871,4.78195418407324,26.7817678813604,11.512176779901,-48.7753705297566,0.476802712910969,97.5507410595133,19.8872843943534,0.110056533695332,39.7745687887067,"htebayesian.tau100","bayesian","MD",5
"35",35,"CD000343",0.164364952503726,2.52395569093276,-4.71929528062855,4.92869077487734,9.6479860555059,1.90859759760005,-4.43054486649584,36.0652891784188,8.86108973299168,2.74791229938429,3.76577560990223,5.49582459876857,"htebayesian.tau100","bayesian","MD",5
"36",36,"CD000039",-13.3037945132615,5.17534931187563,-23.2469501970364,-2.60785789656746,20.6390923004689,11.6911545307276,-96.0358554413768,2.12340938257123,192.071710882754,26.2469094064671,1.26603393106803,52.4938188129342,"htebayesian.tau100","bayesian","MD",7
"37",37,"CD000343",0.0826269728616042,0.82388997110835,-1.52887903929959,1.72481761442641,3.253696653726,0.680050750177605,-2.16456742401221,5.70006634400554,4.32913484802442,0.485473984060172,0.287094398269145,0.970947968120343,"htebayesian.tau100","bayesian","MD",6
"38",38,"CD000039",-8.67923364752091,3.3611511212588,-15.0777966233294,-1.96620602694037,13.111590596389,5.37971729552599,-45.1715940718333,3.15234349413943,90.3431881436666,8.84185795484463,0.768917013103626,17.6837159096893,"htebayesian.tau100","bayesian","MD",5
"39",39,"CD000343",-88.1638306124505,24.9744497073199,-136.392165444711,-38.672026244634,97.7201392000765,96.3916813858473,-1323.03299697378,0.0645630472319019,2646.06599394755,349.731951342707,0.0187441209185469,699.463902685414,"htebayesian.tau100","bayesian","MD",6
"40",40,"CD000039",-11.3639991264296,5.31679815457522,-21.4313470543524,-0.122711134090402,21.308635920262,8.61354851198355,-60.311835707833,5.22847143172728,120.623671415666,14.0835042451134,2.18021275728048,28.1670084902267,"htebayesian.tau100","bayesian","MD",5
